email_id,sender,subject_length,has_links,has_images,word_count,exclamation_marks,all_caps_words,urgent_keywords,is_spam
1,  sister@hotmail.com  ,32,0,0,323,0,4,0,0
2,  hr@techcorp.com  ,20,0,0,333,3,1,0,0
3,professor@school.edu,15,0,1,237,2,1,0,0
4,noreply@github.com,36,1,0,241,2,4,0,0
5,friend@email.com,44,1,0,291,2,5,0,0
6,colleague@office.com,38,0,0,319,1,2,0,0
7,boss@work.com,21,1,1,191,2,2,0,0
8,noreply@github.com,59,0,0,286,1,1,0,0
9,professor@school.edu,55,0,1,365,0,1,0,0
10,sarah@company.com,40,0,1,204,3,3,0,0
11,sister@hotmail.com,31,1,1,379,3,2,0,0
12,contact@linkedin.com,23,0,0,370,0,1,0,0
13,  sister@hotmail.com  ,58,0,1,247,3,4,0,0
14,friend@email.com,15,0,1,346,2,0,0,0
15,dad@aol.com,,1,0,279,0,5,0,0
16,dad@aol.com,47,0,1,345,1,4,0,0
17,support@figma.com,53,0,0,387,2,2,0,0
18,  contact@linkedin.com  ,51,0,1,358,0,4,0,0
19,  support@amazon.com  ,45,0,1,285,3,1,0,0
20,noreply@twitter.com,59,1,1,321,2,3,0,0
21,support@figma.com,30,1,0,300,1,4,0,0
22,  contact@linkedin.com  ,60,0,0,381,0,2,0,0
23,boss@work.com,32,0,0,335,3,1,0,0
24,uncle@email.com,27,1,1,258,3,3,0,0
25,sarah@company.com,56,1,1,354,0,1,0,0
26,  noreply@github.com  ,43,0,1,268,1,0,0,0
27,professor@school.edu,50,0,0,387,1,1,0,0
28,hr@techcorp.com,28,0,0,247,0,3,0,0
29,friend@email.com,44,1,0,198,2,1,0,0
30,sarah@company.com,49,1,0,162,3,4,0,0
31,  support@figma.com  ,47,0,0,302,0,5,0,0
32,contact@linkedin.com,51,0,0,257,2,2,0,0
33,noreply@github.com,35,1,0,321,2,3,0,0
34,notifications@netflix.com,,0,0,287,1,4,0,0
35,  friend@email.com  ,37,0,1,222,1,3,0,0
36,noreply@twitter.com,54,0,1,388,0,1,0,0
37,  friend@email.com  ,21,0,1,222,1,5,0,0
38,notifications@netflix.com,55,1,1,381,0,0,0,0
39,sister@hotmail.com,,1,0,313,2,1,0,0
40,professor@school.edu,42,0,0,391,1,4,0,0
41,sarah@company.com,52,1,0,160,2,2,0,0
42,sarah@company.com,28,0,1,349,3,4,0,0
43,support@amazon.com,30,0,1,156,1,5,0,0
44,notifications@netflix.com,41,0,1,190,0,3,0,0
45,sarah@company.com,29,1,1,228,1,1,0,0
46,john@gmail.com,40,0,1,239,3,5,0,0
47,noreply@twitter.com,16,1,0,298,2,0,0,0
48,mom@yahoo.com,37,1,1,305,0,3,0,0
49,  admin@website.com  ,17,0,0,243,3,0,0,0
50,grandma@comcast.net,54,0,1,279,2,5,0,0
51,hr@techcorp.com,59,0,0,257,3,5,0,0
52,alerts@slack.com,34,0,1,223,1,3,0,0
53,admin@website.com,35,1,0,280,3,5,0,0
54,alerts@slack.com,33,1,0,359,1,5,0,0
55,dad@aol.com,27,0,0,271,0,3,0,0
56,hr@techcorp.com,51,1,1,252,1,1,0,0
57,sister@hotmail.com,21,0,0,355,3,0,0,0
58,noreply@twitter.com,22,1,1,393,3,4,0,0
59,support@figma.com,50,0,1,265,2,1,0,0
60,sister@hotmail.com,48,0,1,262,0,5,0,0
61,dad@aol.com,36,0,0,188,1,3,0,0
62,support@amazon.com,19,1,1,256,0,1,0,0
63,hr@techcorp.com,52,0,1,272,0,2,0,0
64,dad@aol.com,41,0,1,206,2,3,0,0
65,  uncle@email.com  ,36,1,0,365,3,1,0,0
